name,description,url
On,Cloud 5 Waterproof sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/4f/P00904618.jpg
Hoka One One,Clifton L suede sneakers ,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/28/P00898152.jpg
Salomon,XT PU.RE Advanced sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/d8/P00900825.jpg
Birkenstock 1774,Arizona suede sandals ,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/25/P00894017.jpg
Hoka One One,Clifton L suede sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/b1/P00898193.jpg
Ralph Lauren Purple Label,Bowsworth denim espadrilles,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/25/P00910971.jpg
The North Face,Thermoball Traction V quilted mules,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/05/P00914497.jpg
Balenciaga,Rubber pool slides,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/0a/P00569613.jpg
Hoka One One,Mafate Speed 2 sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/06/P00898165.jpg
New Balance,610Xv1 mesh sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/c3/P00914595.jpg
Balenciaga,X-Pander sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/0b/P00556518.jpg
